PROV_EMPLA;X(UTMHuso30);Y(UTMHuso30);ORIENTACION;GANT;altura;tilt total
2800001;443283;4479264;0;15.1;48.75;12
2800001;443283;4479264;120;15.1;48.75;10
2800001;443283;4479264;240;15.1;48.75;10
2800003;442814;4475498;0;16;33.04;8
2800003;442814;4475498;120;16;33.04;7
2800003;442814;4475498;240;16;33.04;12
2800005;441235;4480125;0;17;29;6
2800005;441235;4480125;120;17;29;6
2800005;441235;4480125;240;17;29;8
2800006;445470;4476161;0;14.4;34;3
2800006;445470;4476161;120;14.4;34;3
2800006;445470;4476161;240;14.4;34;6
2800007;434458;4479633;0;15.9;24;10
2800007;434458;4479633;120;15.9;24;11
2800007;434458;4479633;240;15.9;24;10
2800009;440991;4473728;0;15.1;37.5;6
2800009;440991;4473728;120;15.1;37.5;9
2800009;440991;4473728;240;15.1;37.5;6
2800010;451131;4480369;350;17;8.7;6
2800010;451131;4480369;110;17;8.7;8
2800010;451131;4480369;220;17;8.7;9
2800012;439626;4478379;0;15.1;39;6
2800012;439626;4478379;120;15.1;39;6
2800012;439626;4478379;240;15.1;36.9;7
2800013;434591;4471871;0;16;23.5;9
2800013;434591;4471871;120;16;23.5;8
2800013;434591;4471871;240;16;23.5;10
2800016;444341;4476481;0;15.8;37.95;3
2800016;444341;4476481;120;15.8;37.95;3
2800016;444341;4476481;240;15.8;37.95;3
2800018;447743;4477157;0;15.8;39;10
2800018;447743;4477157;140;15.8;39;10
2800018;447743;4477157;240;15.8;39;10
2800020;443268;4474563;0;15.8;35;7
2800020;443268;4474563;120;15.8;35;6
2800020;443268;4474563;240;15.8;35;7
2800021;440729;4482388;0;15.8;29;5
2800021;440729;4482388;120;15.8;29;7
2800021;440729;4482388;240;15.8;29;7
2800023;440449;4474646;0;16;47;16
2800026;444379;4479303;0;16.1;35;12
2800026;444379;4479303;120;16.1;35;11
2800026;444379;4479303;240;16.1;35;12
2800027;440373;4476062;0;17;39.45;10
2800027;440373;4476062;120;17;39.45;10
2800027;440373;4476062;240;17;39.45;12
2800030;439676;4473814;330;16;23;7
2800030;439676;4473814;120;16;23;7
2800030;439676;4473814;240;16;23;8
2800030;439676;4473814;60;15.9;23;7
2800034;443736;4480627;0;16.6;32;12
2800034;443736;4480627;120;16.6;32;15
2800034;443736;4480627;240;16.6;32;15
2800041;451664;4477445;0;16;44;8
2800041;451664;4477445;120;16;44;8
2800041;451664;4477445;240;16;44;6
2800042;442658;4473121;0;15.1;48;9
2800042;442658;4473121;120;15.2;48;13
2800042;442658;4473121;240;15.2;48;13
2800044;446065;4472408;0;16.4;33.1;8
2800044;446065;4472408;120;16.4;33.1;14
2800044;446065;4472408;240;16.4;33.1;10
2800046;438528;4480778;10;17;33.7;7
2800046;438528;4480778;120;17;33.7;8
2800046;438528;4480778;240;17;33.7;11
2800047;440660;4472202;0;14.4;39;8
2800047;440660;4472202;120;14.4;39;8
2800047;440660;4472202;240;14.4;39;9
2800051;443440;4477547;0;15.8;32.85;9
2800051;443440;4477547;120;15.8;32.85;12
2800051;443440;4477547;240;15.8;32.85;10
2800052;440571;4477008;0;15.9;48;12
2800052;440571;4477008;120;15.9;48;13
2800052;440571;4477008;240;15.9;48;13
2800055;440791;4478667;0;15.8;38;6
2800055;440791;4478667;120;15.8;38;11
2800055;440791;4478667;240;15.8;38;9
2800059;445126;4471024;0;15.9;26.75;3
2800059;445126;4471024;120;15.3;26.75;6
2800059;445126;4471024;240;15.9;26.75;5
2800061;443540;4475934;0;15.1;29;7
2800061;443540;4475934;85;18.3;29;14
2800061;443540;4475934;115;18.3;29;11
2800061;443540;4475934;240;15.1;29;6
2800067;439594;4476494;0;15.1;38.6;10
2800067;439594;4476494;120;15.1;38.6;6
2800067;439594;4476494;240;15.1;38.6;12
2800087;447320;4479621;60;15.8;24;8
2800087;447320;4479621;200;15.8;24;9
2800087;447320;4479621;290;15.8;24;9
2800096;438797;4477417;0;14.6;33;12
2800096;438797;4477417;120;14.6;33;7
2800096;438797;4477417;240;14.6;33;10
2800097;435904;4469036;0;16.4;23.7;8
2800097;435904;4469036;120;16.4;23.7;8
2800097;435904;4469036;240;16.4;23.7;6
2800098;440343;4470292;0;15;30.78;11
2800098;440343;4470292;120;15;30.78;12
2800098;440343;4470292;240;15;30.78;9
2800099;437343;4470992;0;16;29;11
2800099;437343;4470992;120;16;29;11
2800099;437343;4470992;240;16;29;11
2800100;441220;4475654;0;15.9;29;13
2800100;441220;4475654;120;15.9;29;13
2800100;441220;4475654;240;15.9;29;10
2800101;443786;4469816;0;15.1;33;14
2800101;443786;4469816;120;15.1;33;8
2800101;443786;4469816;240;15.1;33;12
2800102;439815;4474647;0;15;67;6
2800102;439815;4474647;120;15;67;6
2800102;439815;4474647;240;15;67;12
2800106;435576;4477938;30;15;17;8
2800106;435576;4477938;130;15;19;12
2800106;435576;4477938;230;15;28;11
2800110;440747;4477628;310;15.3;41.7;6
2800110;440747;4477628;95;15.3;41.7;7
2800110;440747;4477628;220;15.3;41.7;6
2800116;440991;4472826;0;15.1;40;6
2800116;440991;4472826;120;15.1;32;4
2800116;440991;4472826;240;15.1;32;9
2800117;446593;4476012;0;15.1;36;12
2800117;446593;4476012;160;15.3;36;13
2800117;446593;4476012;270;15.1;36;13
2800121;440883;4466101;0;17;28.68;10
2800121;440883;4466101;120;17;28.68;13
2800121;440883;4466101;240;17;28.68;13
2800134;447791;4475458;0;15.3;28;10
2800134;447791;4475458;120;15.3;28;10
2800134;447791;4475458;240;15.3;28;7
2800144;442666;4471832;0;15;29;8
2800144;442666;4471832;120;15;29;8
2800144;442666;4471832;240;15;29;12
2800145;444539;4468579;15;14.4;36.5;12
2800145;444539;4468579;130;14.4;36.5;13
2800145;444539;4468579;250;14.4;36.5;9
2800146;444959;4473256;0;16.8;25;3
2800146;444959;4473256;120;16.8;33;3
2800146;444959;4473256;240;16.8;25;3
2800147;445221;4478840;0;15.8;28.25;4
2800147;445221;4478840;120;15.8;28.25;9
2800147;445221;4478840;240;15.8;28.25;6
2800148;437618;4475908;0;15.1;55;12
2800148;437618;4475908;120;15.1;55;12
2800148;437618;4475908;240;15.1;55;12
2800156;440261;4480861;0;16;31.3;8
2800156;440261;4480861;120;16;31.3;7
2800156;440261;4480861;240;16;31.3;8
2800157;436297;4480268;0;16;22.2;4
2800157;436297;4480268;80;16;22.2;12
2800157;436297;4480268;170;16;22.2;3
2800158;442254;4484799;350;16;33;13
2800158;442254;4484799;90;16;33;12
2800158;442254;4484799;240;16;23;10
2800160;439672;4473094;75;17;24.05;6
2800160;439672;4473094;180;17;24.25;9
2800160;439672;4473094;345;17;23.7;7
2800162;438983;4481476;65;14.9;33.2;5
2800162;438983;4481476;185;14.9;33.2;10
2800162;438983;4481476;320;14.9;33.2;10
2800163;442395;4478579;0;14.4;26.64;8
2800163;442395;4478579;120;14.4;26.64;5
2800163;442395;4478579;240;14.4;26.64;5
2800172;441851;4478870;0;15.3;54;14
2800172;441851;4478870;120;15.3;54;15
2800172;441851;4478870;240;15.3;54;15
2800175;433721;4478954;0;15.3;20;5
2800175;433721;4478954;120;15.3;20;4
2800175;433721;4478954;240;15.3;20;7
2800177;443633;4471792;0;15.8;32;6
2800177;443633;4471792;120;15.8;32;6
2800177;443633;4471792;240;15.8;32;6
2800180;441304;4479194;0;14.9;50.5;15
2800180;441304;4479194;120;14.9;50.5;14
2800180;441304;4479194;270;14.9;51;16
2800181;450816;4479477;20;16.3;24;0
2800181;450816;4479477;120;16.3;24;0
2800181;450816;4479477;240;16.3;24;0
2800184;436275;4471374;0;16.1;21;12
2800184;436275;4471374;120;16.1;21;9
2800184;436275;4471374;240;16.1;21;6
2800185;442060;4467890;0;14.7;36.5;10
2800185;442060;4467890;130;14.7;37;6
2800185;442060;4467890;240;14.7;35.8;5
2800194;447320;4474068;70;16;24.5;10
2800194;447320;4474068;190;16;24.5;6
2800194;447320;4474068;280;16;24.5;10
2800199;442740;4476714;0;16;37.5;16
2800199;442740;4476714;105;16;37.5;13
2800199;442740;4476714;255;16;37.5;13
2800201;432718;4470177;20;16;21;7
2800201;432718;4470177;120;16;21;8
2800201;432718;4470177;240;16;21;6
2800202;444945;4474346;0;15;23.5;14
2800202;444945;4474346;120;15;23.5;14
2800202;444945;4474346;240;15;23.5;14
2800203;441564;4476567;0;15.8;32;2
2800203;441564;4476567;120;15.8;32;5
2800203;441564;4476567;240;15.8;32;5
2800205;439538;4490041;0;15;28.95;7
2800205;439538;4490041;140;15;27.9;9
2800209;440580;4472984;15;15.1;29.25;6
2800209;440580;4472984;120;15.1;25.5;8
2800209;440580;4472984;255;15.1;29.25;8
2800210;442050;4480353;0;15.3;58.35;10
2800210;442050;4480353;120;15.3;58.35;12
2800210;442050;4480353;240;15.3;58.35;14
2800214;446953;4474732;0;14.8;21;8
2800214;446953;4474732;120;14.8;22;8
2800214;446953;4474732;240;14.8;24;8
2800215;438112;4471348;0;16;24;9
2800215;438112;4471348;120;16;24;9
2800215;438112;4471348;240;16;24;7
2800219;440300;4474066;0;17;30;12
2800219;440300;4474066;120;17;30;14
2800219;440300;4474066;240;16.5;30;13
2800220;441296;4474187;0;15;27.2;7
2800220;441296;4474187;120;15;27.2;6
2800220;441296;4474187;240;15;27.2;6
2800222;442063;4476108;0;14.6;32.4;6
2800222;442063;4476108;120;14.6;32.4;5
2800222;442063;4476108;240;14.6;32.4;8
2800227;440731;4471061;0;15.8;47.4;11
2800227;440731;4471061;120;15.8;47.4;11
2800227;440731;4471061;240;15.8;47.4;13
2800229;434251;4468509;10;15;23.69;6
2800229;434251;4468509;120;15;23.69;8
2800229;434251;4468509;285;15;23.69;6
2800236;442645;4474412;0;15;31.65;7
2800236;442645;4474412;120;15;31.65;11
2800236;442645;4474412;240;15;31.65;10
2800237;442194;4481781;0;16.1;33;12
