,scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
3,2800303,"[400.0, 479.53326416015625, 19.795095443725586]",6,24,8,13.6,19.795095443725582,4.164602756500244,14.66558542251587,92,18.4,34,[-168.36656 -279.53326    0.     ],[-22.632263 -31.213394  16.850306],191813.3056640625,46098.363807962334,9219.672761592466,36188.72210851708,0.0222978642675433,18.866638048508054,4.806586659707328,24.03293329853664,774349.6359287456,154869.9271857491,609791.0252549566
8,2810423,"[426.9850158691406, 414.1535339355469, 13.49653148651123]",2,164,164,164.0,13.49653148651123,13.49653148651123,13.49653148651123,246,246.0,246,[-80.987274 -48.215256   0.      ],[226.98502   214.15353    13.4965315],176837.35325973015,80802.31699032523,80802.31699032523,80802.31699032523,45.69301423079246,45.69301423079246,45.69301423079246,45.69301423079246,1090551.0154429858,1090551.0154429858,1090551.0154429858
13,2802423,"[400.32354736328125, 400.0, 30.0]",76,98,8,25.946666666666665,30.0,4.25877857208252,14.26133274714152,2849,37.986666666666665,135,[-200.32355  -73.89097    0.     ],[-92.511185   -1.6224365  30.       ],160129.4189453125,64774.98794780726,863.6665059707634,7791.441160041257,0.0023954100752672,4.865715001877446,0.5393552987697553,40.45164740773165,1157703.853380931,15436.051378412414,233743.2348012377
24,2800267,"[400.0, 457.95123291015625, 20.195510864257812]",31,54,8,16.733333333333334,20.19551086425781,4.119578361511231,15.759938685099284,698,23.266666666666666,79,[   7.136671 -257.95123     0.      ],[194.951    -94.69037   18.390394],183180.4931640625,53911.27105168328,1797.0423683894426,30662.73031938658,0.0115243126381352,16.739080559153223,0.9810227810555964,29.43068343166789,939581.8669273296,31319.39556424432,563899.6981534418
28,2802933,"[400.0, 429.03472900390625, 20.655115127563477]",17,48,8,17.5,20.65511512756348,4.5695672035217285,14.499091804027556,388,24.25,70,[-48.86326  74.24483   0.     ],[ 78.97557  213.53893   12.760874],171613.8916015625,67083.02517644678,4192.689073527923,17807.194367842516,0.003219342019408,10.376312897318147,2.443094224133165,39.08950758613064,1047981.2651570444,65498.82907231528,227235.3599631608
30,2800246,"[415.6911926269531, 400.0, 22.14472198486328]",76,86,8,19.28,22.14472198486328,4.066899299621582,13.234290523529053,2069,27.586666666666662,139,[-215.6912   -63.14102    0.     ],[-95.2516      0.5536499  15.758545 ],166276.47705078125,56562.84855764267,754.1713141019021,7671.360165329184,0.0525221757791621,4.613617212365122,0.4535646457505691,34.017348431292675,882167.0166616443,11762.226888821924,120889.47377722236
55,2802367,"[416.5549011230469, 400.0, 21.68259620666504]",95,60,8,15.97872340425532,21.68259620666504,3.970377206802368,14.127939764489518,2079,22.117021276595743,98,[  92.846436 -112.50702     0.      ],[216.5549   -52.251945  18.79556 ],166621.96044921875,90273.86257608978,960.360240171168,7454.062691723695,0.0784416887527778,4.473637611529282,0.5763707482387093,54.17885033443866,1444550.8646304607,15367.562389685752,140103.28880355417
88,2805258,"[400.0, 463.9486389160156, 18.220870971679688]",2,52,52,52.0,18.220870971679688,18.220870971679688,18.220870971679688,76,76.0,76,[ -52.76316 -263.94864    0.     ],[110.18495   48.525803  18.220871],185579.45556640625,50917.12044771703,50917.12044771703,50917.12044771703,27.43683038206633,27.43683038206633,27.43683038206633,27.43683038206633,927754.2819273254,927754.2819273254,927754.2819273254
108,2800279,"[400.0, 760.1263427734375, 104.0]",13,272,8,90.0,104.0,4.0,25.43057143688202,1603,133.58333333333334,448,[-106.77869 -560.12634    0.     ],[134.15146  -61.27005   20.397541],304050.537109375,156876.1479462865,13073.012328857209,120189.51907183696,0.0453109630160756,39.52945461451417,4.299618232265941,51.59541878719129,3450181.6542417384,287515.1378534782,2451570.6485839305
144,2802477,"[448.0420837402344, 400.0, 19.13729476928711]",56,88,8,14.181818181818182,19.13729476928711,4.086856842041016,13.292477330294522,1062,19.30909090909091,130,[  60.747833 -146.72708     0.      ],[248.04208  -87.307495  16.667507],179216.83349609375,44670.39277644214,812.1889595716751,11128.946858214214,0.0623881382179382,6.209766482932968,0.4531878751163058,24.925333131396822,688464.2564428003,12517.53193532364,185491.8015719841
150,2802430,"[400.0, 404.9385986328125, 18.31031036376953]",19,320,8,34.22222222222222,18.31031036376953,12.875761032104492,15.773755762312147,882,49.0,472,[ 3.3058472 67.00271    0.       ],[119.44702  204.93861   13.403238],161975.439453125,47538.95913090715,2641.053285050397,16020.038040119687,0.1681933831525809,9.890411839108372,1.6305270070372042,29.349486126669667,739502.8608556687,41083.49226975938,214720.38737085983
164,2803937,"[400.0, 450.24359130859375, 17.823562622070312]",8,46,8,19.428571428571427,17.823562622070312,14.31268310546875,16.462284360613143,190,27.142857142857142,67,[-10.4195595  47.36383     0.       ],[ 43.642063 250.24359   16.052574],180097.4365234375,21012.48740104288,3001.783914434697,10968.009062404744,0.2220161095375504,6.090041743030247,1.6667554921272028,11.66728844489042,346947.4873075711,49563.92675822444,176064.77883674062
173,2800194,"[414.59881591796875, 400.0, 19.061376571655273]",9,24,8,12.25,19.061376571655277,4.207326412200928,10.718194425106049,135,16.875,34,[55.75255 76.24264  0.     ],[162.14345  180.22678   19.061377],165839.5263671875,24607.56631941747,3075.945789927184,11081.8523172664,0.0152622004599868,6.682274461354842,1.8547724160262569,14.838179328210051,416006.1238908937,52000.76548636171,210875.3617641838
179,2809528,"[415.4356689453125, 400.0, 19.514123916625977]",8,88,8,25.428571428571427,19.514123916625977,4.563295841217041,14.221883433205742,253,36.142857142857146,130,[-93.50289   11.529973   0.      ],[ 21.519215 128.73825   17.439032],166174.267578125,28734.4592522146,4104.922750316371,13481.542961957111,0.106379936211965,8.112894468223796,2.470251748446244,17.291762239123706,483267.2068721069,69038.17241030098,235105.05374316408
189,2802121,"[592.6209106445312, 400.0, 19.033123016357422]",3,34,8,21.0,19.033123016357425,16.51207160949707,17.772597312927246,59,29.5,49,[  61.31583 -155.5852     0.     ],[392.6209   128.57584   16.512072],237048.3642578125,116571.12053623286,58285.56026811643,94143.996625041,9.460990790385813,39.71510072208324,24.58804575623453,49.17609151246906,1981370.622181733,990685.3110908666,1554512.4138769277
193,2803984,"[400.0, 418.4576110839844, 20.611980438232422]",34,42,8,22.24242424242424,20.611980438232425,12.182496070861816,16.30825794104374,1037,31.424242424242426,61,[28.585642 78.597404  0.      ],[154.41016  178.95189   15.678082],167383.04443359375,58954.20767949008,1786.4911418027295,12627.054286285842,0.2595640319656881,7.543807276904562,1.067307114557525,35.22113478039832,903059.9631984492,27365.45343025604,197967.9984046328
195,2800242,"[477.6196594238281, 400.0, 38.80452346801758]",17,256,8,32.125,38.80452346801758,4.646527290344238,18.20596200227737,751,46.9375,390,[-277.61966   78.74755    0.     ],[-76.029015 146.2003    16.44541 ],191047.86376953125,36274.06997054316,2267.129373158948,13597.843602268433,0.0707135785635848,7.117506228005805,1.1866813522154205,18.986901635446728,653196.6235549207,40824.78897218255,223622.1100926787
197,2808246,"[400.0, 401.33172607421875, 21.54710578918457]",105,64,8,15.903846153846152,21.54710578918457,3.838633537292481,12.84363043308258,2279,21.91346153846154,100,[ -54.483017 -188.55244     0.      ],[ 79.3983   -46.553345  16.597433],160532.6904296875,77522.24123155617,745.4061656880401,19011.02650455153,0.0570650441349644,11.842464269218896,0.4643329428372871,48.29062605507786,1180902.2257938825,11354.82909417195,315534.2403855021
202,2801760,"[400.0, 420.9020080566406, 17.999109268188477]",43,116,8,15.238095238095235,17.999109268188477,4.2511138916015625,7.909227462041946,878,20.904761904761905,174,[ 3.4571996 99.819115   0.       ],[104.61851  220.90201   10.231393],168360.80322265625,38702.612622652494,921.4907767298212,12248.903847098349,0.0043353622741167,7.275389290522234,0.5473309458562957,22.98789972596441,440591.3494229993,10490.270224357126,125323.34736908245
205,2805577,"[400.0, 416.45343017578125, 17.509878158569336]",13,36,8,12.833333333333334,17.509878158569336,4.206544399261475,7.831199447313945,207,17.25,52,[ -90.44848 -216.45345    0.     ],[-35.59898   41.351826  17.509878],166581.3720703125,25229.209409166677,2102.434117430556,14140.48989729832,0.0046658478485116,8.48863814816566,1.2621063755815012,15.145276506978012,371540.2120850563,30961.684340421358,247598.25520417423
215,2803551,"[402.7928466796875, 439.0913391113281, 19.313322067260742]",11,64,8,18.0,19.313322067260746,4.325758457183838,9.665343236923215,250,25.0,94,[-202.79286 -239.09134    0.     ],[ 69.40744 107.79291  17.14442],176862.85043304786,129387.81440921142,12938.781440921142,94421.9967881483,0.0504658600588657,53.38712825048137,7.315714639473805,73.15714639473804,2223449.882381458,222344.98823814577,1618810.4290731524
231,2801503,"[419.1510009765625, 468.70379638671875, 17.681833267211914]",17,54,8,24.875,17.681833267211914,7.488266944885254,14.85698026418686,565,35.3125,79,[-219.15102 -268.7038     0.     ],[ 15.447952  -81.69978     7.6658516],196457.6654170081,86186.96572239258,5386.685357649536,43870.94857068965,0.2411047648328106,22.330993538769587,2.741906428652485,43.87050285843976,1004814.4370144248,62800.90231340155,336308.1809878135
238,2806151,"[400.0, 441.0235290527344, 29.988712310791016]",32,210,8,24.967741935483872,29.988712310791016,13.196853637695312,23.451099272697203,1104,35.61290322580645,313,[ -44.676422 -241.02353     0.      ],[ 96.97705  -17.827888  16.643093],176409.41162109375,57470.69447404517,1853.8933701304893,31616.43762211292,0.2081041600968168,17.922194361160976,1.0509038906112504,32.57802060894876,1109365.7716028714,35785.99263235069,526195.3151238532
250,2801467,"[400.0, 427.7403259277344, 20.510038375854492]",53,118,8,25.346153846153847,20.51003837585449,4.572757244110107,15.077852450884306,1871,35.98076923076923,173,[ -10.170174 -227.74033     0.      ],[ 77.18864  -76.07855   19.630548],171096.13037109375,58851.7237821817,1131.76391888811,13248.992135744076,0.1279783960893948,7.743595431999588,0.6614783843640443,34.3968759869303,968909.715978588,18632.879153434387,260084.982394406
