scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2805598,[400.     400.      42.2775],108,92,8,14.97196261682243,42.27750015258789,4.140913009643555,12.746723651885986,2189,20.457943925233646,128,[-35.645027  81.97388    0.      ],[ 15.8763275 113.55517    42.2775   ],160000.0,58301.00831627235,544.8692366006762,2669.817646490119,0.06037558952462632,1.6686360290563242,0.34054327287542274,36.43813019767023,885335.0913290966,8274.15973204763,68790.18153244905
2800764,[400.       400.        32.190094],97,136,8,24.5,32.190093994140625,4.087934494018555,13.510886073112488,3359,34.989583333333336,202,[ 39.529594 -86.94261    0.      ],[147.40065   62.41425   18.313477],160000.0,52794.68487336923,549.9446340975963,16111.282269976073,0.027706611190228613,10.069551418735045,0.3437153963109976,32.99667804585578,810348.8077490396,8441.133414052498,295053.5902430286
2808429,[400.      400.       21.25515],30,64,8,21.517241379310345,21.255149841308594,4.331104278564453,14.283335751500623,886,30.551724137931036,98,[-32.827084 -90.879654   0.      ],[ 47.042564 -22.028519  13.271012],160000.0,32070.602965051963,1105.8828608638607,5499.115935734706,0.13711919128677436,3.436947459834191,0.6911767880399128,20.044126853157476,494797.7138665541,17061.990133329447,72978.83525642939
2800303,[400.      479.53326  18.89751],6,24,8,13.6,18.897510528564453,4.683867454528809,13.90880126953125,92,18.4,34,[-168.36656 -279.53326    0.     ],[-22.632263 -31.213394  18.89751 ],191813.31,46098.363807962334,9219.672761592466,36188.722108517075,0.02229786347288102,18.8666373761295,4.80658648840782,24.0329324420391,839181.8731028477,167836.37462056955,683876.7570609946
2808150,[400.       400.        20.908339],33,42,8,18.8125,20.90833854675293,4.645877838134766,15.745709091424942,845,26.40625,63,[-112.65156 -100.90008    0.     ],[-28.557919 -28.87574   19.540499],160000.0,38500.43793835305,1203.1386855735325,6056.78868644411,0.24172502765008175,3.7854929290275687,0.7519616784834577,24.062773711470648,649302.6407149557,20290.707522342367,118352.67165666247
2802194,[400.       400.        19.739355],58,186,8,23.57894736842105,19.739355087280273,4.084710121154785,11.969499035885459,1712,30.035087719298247,160,[-147.80522    37.064266    0.      ],[-82.9609   113.01838   13.269701],160000.0,38004.2007361604,666.7403637922877,4925.192976563267,0.004040231558178675,3.0782456103520417,0.4167127273701798,23.752625460100248,528530.1780352725,9272.45926377671,65355.83818613481
2802322,[400.       400.        26.814846],22,42,8,17.904761904761905,26.81484603881836,4.438634395599365,16.402899855659122,524,24.952380952380953,61,[ -36.547302 -109.778175    0.      ],[ 10.865719 -50.67861   16.293865],160000.0,25306.85685952163,1205.0884218819824,2802.088855172682,0.25930938661935216,1.7513055344829263,0.753180263676239,15.816785537201017,421056.8457154494,20050.32598644997,45656.85809541484
2803220,[400.       400.        21.427826],77,88,8,27.894736842105264,21.427825927734375,4.186007022857666,15.212855175921792,3128,41.1578947368421,144,[-150.16269    71.481575    0.      ],[-67.887474 101.46106   16.679157],160000.0,43615.22898847852,573.8845919536648,2466.5685420720256,0.0954798783787237,1.541605338795016,0.3586778699710404,27.259518117799075,682600.5306348783,8981.585929406294,41140.284598586055
2810423,[426.98502  414.15353   15.875601],2,164,164,164.0,15.875600814819336,15.875600814819336,15.875600814819336,246,246.0,246,[-80.987274 -48.215256   0.      ],[226.98502  214.15353   15.875601],176837.36,80802.31699032523,80802.31699032523,80802.31699032523,45.69301265066757,45.69301265066757,45.69301265066757,45.69301265066757,1282785.3294508974,1282785.3294508974,1282785.3294508974
2800368,[400.       400.        27.492052],96,92,8,20.63157894736842,27.49205207824707,4.105345249176025,13.788220154611688,2814,29.621052631578948,146,[95.15573  44.908573  0.      ],[146.2305   103.44094   19.770111],160000.0,55245.1906598583,581.5283227353506,5333.683518158854,0.016139659407347084,3.3335521988492838,0.3634552017095941,34.52824416241143,819977.5839171702,8631.342988601797,59103.28295397395
2805870,[400.       400.        21.185307],57,40,8,15.714285714285714,21.185306549072266,4.274729251861572,15.199094380651202,1212,21.642857142857142,58,[ 57.36912 -31.61734   0.     ],[144.0581      1.0872085  17.492594 ],160000.0,34557.95933738949,617.106416739098,2835.1240873749184,0.06355236751733173,1.7719525546093238,0.3856915104619362,21.59872458586843,559768.4657651302,9995.86546009161,49593.673934549515
2805830,[400.       400.        22.037539],131,62,8,11.538461538461538,22.037538528442383,4.095162868499756,9.73880126292889,1983,15.253846153846155,91,[-14.305423 -92.37461    0.      ],[ 20.472502 -46.666824  18.546352],160000.0,49304.4364649593,379.26489588430235,1634.0615620836616,0.05535170151609236,1.0212884763022885,0.23704055992768894,30.81527279059957,583292.9758507756,4486.869045005966,29481.688878785793
2806422,[400.       400.         8.079875],2,8,8,8.0,8.079874992370605,8.079874992370605,8.079874992370605,10,10.0,10,[21.617989 63.102314  0.      ],[63.270004 74.77996   8.079875],160000.0,486.397520898754,486.397520898754,486.397520898754,0.30399845056172126,0.30399845056172126,0.30399845056172126,0.30399845056172126,3930.0311654609013,3930.0311654609013,3930.0311654609013
2802423,[400.32355 400.       30.     ],76,98,8,25.946666666666665,30.0,4.357278823852539,13.992543404897054,2849,37.986666666666665,135,[-200.32355  -73.89097    0.     ],[-92.511185   -1.6224365  30.       ],160129.42,64774.98794780726,863.6665059707634,7791.441160041257,0.0023954100314413974,4.865714912855553,0.5393552889018468,40.45164666763852,1125103.0220330218,15001.373627106963,233743.2348012377
2805091,[400.       400.        21.804287],141,56,8,11.014285714285714,21.80428695678711,3.856034755706787,8.812344666889736,2033,14.521428571428572,82,[ 3.4935274 84.46771    0.       ],[ 50.777958 120.9804    13.31388 ],160000.0,46365.891778913705,331.184941277955,1726.4816432604057,0.04112013828791078,1.0790510270377536,0.20699058829872188,28.978682361821065,512684.42163813574,3662.0315831295425,22986.16936314189
2806222,[400.       400.        18.372412],42,20,8,11.560975609756097,18.372411727905273,3.9781620502471924,8.344199616734574,629,15.341463414634147,28,[-36.037296  11.079866   0.      ],[-1.45784  30.51633  18.372412],160000.0,6450.672146878585,157.33346699703867,672.1023687938941,0.02245090933070699,0.4200639804961838,0.09833341687314917,4.031670091799117,64302.450049337975,1568.352440227755,12348.141442781856
2800384,[400.       400.        21.014881],117,50,8,14.724137931034482,21.014881134033203,3.740706443786621,12.49377250054787,2328,20.06896551724138,73,[-69.67008  60.2169    0.     ],[-22.425955 124.8044    17.46105 ],160000.0,64094.25276596404,552.5366617755521,3051.379962147803,0.004498653082664532,1.9071124763423766,0.3453354136097201,40.05890797872753,918257.1623405059,7916.010020176773,53280.29819049369
2808333,[400.       400.        27.563015],26,52,8,19.2,27.56301498413086,13.20480728149414,18.010329551696778,672,26.88,76,[ -85.436745 -134.59412     0.      ],[-12.076649 -32.413635  19.996256],160000.0,33207.42410498843,1328.2969641995371,7495.969890063861,0.29193606771612396,4.684981181289913,0.8301856026247109,20.754640065617767,630105.2552932815,25204.21021173126,149891.3319502675
2805243,[400.       400.        38.069736],27,184,8,34.38461538461539,38.06973648071289,8.106398582458496,18.364348778357872,1289,49.57692307692308,264,[ -21.373583 -198.63097     0.      ],[ 85.01941  -79.49723   25.210625],160000.0,40649.23343729949,1563.4320552807499,12674.994586998844,0.09477995947170256,7.921871616874277,0.9771450345504686,25.40577089831218,900334.2712473042,34628.24120181939,319544.53154175635
